Chart,Purpose,Element,Interactions,value
StoryMap,Decision Making,Toolbar,Querying,0.0208
StoryMap,Learning,3D Scene,Zooming,0.04
StoryMap,Learning,3D Scene,Panning,0.04
StoryMap,Learning,3D Scene,Clicking,0.04
StoryMap,Learning,3D Scene,Highlighting,0.04
StoryMap,Learning,3D Scene,Tooltip,0.04
StoryMap,Learning,Grid Map,Zooming,0.1
StoryMap,Learning,Grid Map,Panning,0.1
StoryMap,Learning,Overview Map,Clicking,0.04
StoryMap,Learning,Overview Map,Zooming,0.04
StoryMap,Learning,Overview Map,Highlighting,0.04
StoryMap,Learning,Overview Map,Panning,0.04
StoryMap,Learning,Overview Map,Tooltip,0.04
StoryMap,Learning,Text,No,0.2
StoryMap,Learning,Image,Zooming,0.2
StoryMap,Monitoring,Overview Map,Clicking,0.0256
StoryMap,Monitoring,Overview Map,Zooming,0.0256
StoryMap,Monitoring,Overview Map,Highlighting,0.0256
StoryMap,Monitoring,Overview Map,Panning,0.0256
StoryMap,Monitoring,Overview Map,Tooltip,0.0256
StoryMap,Monitoring,3D Scene,Clicking,0.0238
StoryMap,Monitoring,3D Scene,Zooming,0.0238
StoryMap,Monitoring,3D Scene,Highlighting,0.0238
StoryMap,Monitoring,3D Scene,Panning,0.0238
StoryMap,Monitoring,3D Scene,Tooltip,0.0238
StoryMap,Monitoring,3D Scene,Selecting,0.0238
StoryMap,Monitoring,Choropleth Map,Clicking,0.0238
StoryMap,Monitoring,Choropleth Map,Zooming,0.0238
StoryMap,Monitoring,Choropleth Map,Highlighting,0.0238
StoryMap,Monitoring,Choropleth Map,Panning,0.0238
StoryMap,Monitoring,Choropleth Map,Tooltip,0.0238
StoryMap,Monitoring,Choropleth Map,Selecting,0.0238
StoryMap,Monitoring,Toolbar,Map overlay,0.0256
StoryMap,Monitoring,Toolbar,Filtering,0.0256
StoryMap,Monitoring,Toolbar,Selecting,0.0256
StoryMap,Monitoring,Toolbar,Clicking,0.0256
StoryMap,Monitoring,Toolbar,Querying,0.0256
StoryMap,Monitoring,Text,No,0.1428
StoryMap,Monitoring,Image,No,0.1428
StoryMap,Monitoring,Bar Chart,Clicking,0.0714
StoryMap,Monitoring,Bar Chart,Tooltip,0.0714
StoryMap,Learning,3D Scene,Clicking,0.025
